Commands,Model Parameters,,,,,,,Reflectivity Data from Air,,,Model,Tiles,,,,,Profile,,,Incoherent Sum,,,ctrl-s,χ2,,,,,,,,,,
ctrl-l : Load,Compound,Nb (Å-2),μlabs/l [Å-2],μlinc [Å-1],d (Å),σfwhm (Å),ωdPS,Q (Å-1),R,dR,Rmodel,nrough,Nb (Å-2),mlabs/l [Å-2],mlinc [Å-1],d (Å),z (Å),Nb (Å-2),,R(1 – δd/d),R(1 ),R(1 + δd/d),Sum,29.6,,,,,,,,,,
ctrl-r : Calc Refl,air,0.00E+00,0.00,0.00,100.0,,,8.347E-03,9.351E-01,2.778E-02,1.00E+00,21,0.00E+00,0.00E+00,0.00E+00,100.00,-10.00,0.00E+00,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.5,,,,,,,,,,
ctrl-q : Toggle RQ4,PEO_1,2.08E-06,0.00E+00,0.00E+00,33.4,10.0,0.32,8.430E-03,1.098E+00,2.887E-02,1.00E+00,,8.14E-09,0.00E+00,0.00E+00,3.44,100.00,0.00E+00,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,11.6,,,,,,,,,,
,dPS_1,4.19E-06,0.00E+00,0.00E+00,39.8,33.4,0.68,8.515E-03,9.472E-01,2.309E-02,1.00E+00,,6.70E-08,0.00E+00,0.00E+00,2.56,100.00,8.14E-09,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.2,,,,,,,,,,
,dPS_2,3.89E-06,0.00E+00,0.00E+00,39.8,39.8,0.63,8.600E-03,1.020E+00,2.348E-02,1.00E+00,,1.52E-07,0.00E+00,0.00E+00,1.43,103.44,8.14E-09,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.7,,,,,,,,,,
RQ4,PEO_2,2.38E-06,0.00E+00,0.00E+00,33.4,33.4,0.37,8.686E-03,1.001E+00,2.204E-02,1.00E+00,,2.49E-07,0.00E+00,0.00E+00,1.05,103.44,6.70E-08,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.0,,,,,,,,,,
FALSE,PEO_3,3.38E-06,0.00E+00,0.00E+00,33.4,33.4,0.54,8.773E-03,1.138E+00,2.450E-02,1.00E+00,,3.50E-07,0.00E+00,0.00E+00,0.85,106.01,6.70E-08,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,31.5,,,,,,,,,,
χ2,dPS_3,2.89E-06,0.00E+00,0.00E+00,39.8,33.4,0.46,8.860E-03,1.045E+00,2.202E-02,1.00E+00,,4.55E-07,0.00E+00,0.00E+00,0.73,106.01,1.52E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.3,,,,,,,,,,
57.1,dPS_4,4.21E-06,0.00E+00,0.00E+00,39.8,39.8,0.69,8.949E-03,9.852E-01,2.033E-02,1.00E+00,,5.60E-07,0.00E+00,0.00E+00,0.66,107.43,1.52E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.5,,,,,,,,,,
,PEO_4,2.06E-06,0.00E+00,0.00E+00,33.4,33.4,0.31,9.039E-03,1.028E+00,2.028E-02,1.00E+00,,6.67E-07,0.00E+00,0.00E+00,0.61,107.43,2.49E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.0,,,,,,,,,,
dQ0 (Å-1),PEO_5,3.24E-06,0.00E+00,0.00E+00,33.4,33.4,0.52,9.129E-03,9.948E-01,1.894E-02,1.00E+00,,7.73E-07,0.00E+00,0.00E+00,0.58,108.48,2.49E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.1,,,,,,,,,,
0.0001,dPS_5,3.03E-06,0.00E+00,0.00E+00,39.8,33.4,0.48,9.220E-03,9.393E-01,1.795E-02,1.00E+00,,8.80E-07,0.00E+00,0.00E+00,0.56,108.48,3.50E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,11.4,,,,,,,,,,
dQ1/Q,dPS_6,4.06E-06,0.00E+00,0.00E+00,39.8,39.8,0.66,9.312E-03,1.016E+00,1.812E-02,1.00E+00,,9.87E-07,0.00E+00,0.00E+00,0.55,109.33,3.50E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.8,,,,,,,,,,
0.023,PEO_6,2.21E-06,0.00E+00,0.00E+00,33.4,33.4,0.34,9.406E-03,1.021E+00,1.816E-02,1.00E+00,,1.14E-06,0.00E+00,0.00E+00,0.76,109.33,4.55E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.4,,,,,,,,,,
λ (Å),PEO_7,2.45E-06,0.00E+00,0.00E+00,33.4,33.4,0.38,9.500E-03,1.021E+00,1.773E-02,1.00E+00,,1.36E-06,0.00E+00,0.00E+00,1.52,110.06,4.55E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.4,,,,,,,,,,
4.25,dPS_7,3.81E-06,0.00E+00,0.00E+00,39.8,33.4,0.62,9.595E-03,1.044E+00,1.768E-02,1.00E+00,,1.62E-06,0.00E+00,0.00E+00,1.52,110.06,5.60E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.2,,,,,,,,,,
