Commands,Model Parameters,,,,,,,Reflectivity Data from Air,,,Model,Tiles,,,,,Profile,,,Incoherent Sum,,,ctrl-s,χ2,,,,,,,,,,
ctrl-l : Load,Compound,Nb (Å-2),μlabs/l [Å-2],μlinc [Å-1],d (Å),σfwhm (Å),ωdPS,Q (Å-1),R,dR,Rmodel,nrough,Nb (Å-2),mlabs/l [Å-2],mlinc [Å-1],d (Å),z (Å),Nb (Å-2),,R(1 – δd/d),R(1 ),R(1 + δd/d),Sum,104.6,,,,,,,,,,
ctrl-r : Calc Refl,air,0.00E+00,0.00,0.00,100.0,,,8.792E-03,9.498E-01,1.514E-02,1.00E+00,21,0.00E+00,0.00E+00,0.00E+00,100.00,-10.00,0.00E+00,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,11.0,,,,,,,,,,
ctrl-q : Toggle RQ4,dPS_1,4.43E-06,0.00E+00,0.00E+00,40.0,34.5,0.70,8.968E-03,1.020E+00,1.540E-02,1.00E+00,,1.73E-08,0.00E+00,0.00E+00,11.88,100.00,0.00E+00,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.7,,,,,,,,,,
,PEO_2,1.53E-06,0.00E+00,0.00E+00,83.9,32.5,0.17,9.147E-03,1.012E+00,1.428E-02,1.00E+00,,1.43E-07,0.00E+00,0.00E+00,8.84,100.00,1.73E-08,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.7,,,,,,,,,,
,dPS_3,5.30E-06,0.00E+00,0.00E+00,83.9,32.5,0.86,9.330E-03,1.009E+00,1.340E-02,1.00E+00,,3.24E-07,0.00E+00,0.00E+00,4.92,111.88,1.73E-08,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.5,,,,,,,,,,
RQ4,PEO_4,1.80E-06,0.00E+00,0.00E+00,83.9,32.5,0.22,9.517E-03,1.006E+00,1.285E-02,1.00E+00,,5.29E-07,0.00E+00,0.00E+00,3.61,111.88,1.43E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.3,,,,,,,,,,
FALSE,dPS_5,4.81E-06,0.00E+00,0.00E+00,83.9,32.5,0.77,9.707E-03,9.989E-01,1.199E-02,1.00E+00,,7.46E-07,0.00E+00,0.00E+00,2.93,120.72,1.43E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.0,,,,,,,,,,
χ2,PEO_6,1.86E-06,0.00E+00,0.00E+00,83.9,32.5,0.23,9.901E-03,9.813E-01,1.120E-02,1.00E+00,,9.68E-07,0.00E+00,0.00E+00,2.53,120.72,3.24E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.8,,,,,,,,,,
189.4,dPS_7,5.51E-06,0.00E+00,0.00E+00,83.9,32.5,0.90,1.010E-02,1.006E+00,1.090E-02,9.99E-01,,1.19E-06,0.00E+00,0.00E+00,2.28,125.64,3.24E-07,,9.99E-01,9.99E-01,9.99E-01,9.99E-01,0.4,,,,,,,,,,
,PEO_8,1.15E-06,0.00E+00,0.00E+00,83.9,32.5,0.10,1.030E-02,9.949E-01,1.027E-02,9.96E-01,,1.42E-06,0.00E+00,0.00E+00,2.11,125.64,5.29E-07,,9.95E-01,9.96E-01,9.96E-01,9.96E-01,0.0,,,,,,,,,,
dQ0 (Å-1),dPS_9,4.88E-06,0.00E+00,0.00E+00,83.9,32.5,0.78,1.051E-02,9.856E-01,9.760E-03,9.91E-01,,1.65E-06,0.00E+00,0.00E+00,1.99,129.24,5.29E-07,,9.90E-01,9.91E-01,9.92E-01,9.91E-01,0.3,,,,,,,,,,
0.0001,PEO_10,1.04E-06,0.00E+00,0.00E+00,45.0,32.5,0.08,1.072E-02,1.030E+00,9.600E-03,9.86E-01,,1.87E-06,0.00E+00,0.00E+00,1.93,129.24,7.46E-07,,9.84E-01,9.86E-01,9.88E-01,9.86E-01,20.7,,,,,,,,,,
dQ1/Q,SiOx,3.30E-06,1.08E-12,9.87E-10,20.0,5.0,,1.093E-02,9.723E-01,8.669E-03,9.81E-01,,2.10E-06,0.00E+00,0.00E+00,1.89,132.18,7.46E-07,,9.78E-01,9.81E-01,9.83E-01,9.81E-01,0.9,,,,,,,,,,
0.023,Si (Substrate),2.07E-06,4.75E-11,2.00E-12,100.0,5.0,,1.115E-02,9.432E-01,8.221E-03,9.74E-01,,2.26E-06,0.00E+00,0.00E+00,0.91,132.18,9.68E-07,,9.70E-01,9.74E-01,9.77E-01,9.74E-01,13.7,,,,,,,,,,
λ (Å),,,,,,,,1.137E-02,9.489E-01,7.841E-03,9.65E-01,,2.42E-06,0.00E+00,0.00E+00,1.82,134.71,9.68E-07,,9.60E-01,9.65E-01,9.69E-01,9.65E-01,4.1,,,,,,,,,,
4.25,,,,,,,,1.160E-02,9.312E-01,7.457E-03,9.54E-01,,2.64E-06,0.00E+00,0.00E+00,1.82,134.71,1.19E-06,,9.48E-01,9.54E-01,9.59E-01,9.53E-01,8.9,,,,,,,,,,
,,,,,,,,1.183E-02,9.089E-01,7.011E-03,9.39E-01,,2.84E-06,0.00E+00,0.00E+00,1.82,136.99,1.19E-06,,9.32E-01,9.39E-01,9.45E-01,9.39E-01,17.8,,,,,,,,,,
,,,,,,,,1.207E-02,8.799E-01,6.613E-03,9.19E-01,,3.03E-06,0.00E+00,0.00E+00,1.82,136.99,1.42E-06,,9.11E-01,9.19E-01,9.26E-01,9.19E-01,34.8,,,,,,,,,,
,Total for MB,2.476E-03,Å-1,,,,,1.231E-02,8.705E-01,6.357E-03,8.93E-01,,3.21E-06,0.00E+00,0.00E+00,1.82,139.09,1.42E-06,,8.84E-01,8.93E-01,9.01E-01,8.93E-01,12.5,,,,,,,,,,
